asn,name,note,ok,verdict,hostile,prefixes_v4,total_v4,black_pct,black_hits,white_pct,white_hits,pdb_type,pdb_scope,pdb_name,source,error
59504,timeweb-cloud,Timeweb Cloud,True,OK,False,50,14592,0.0,0,21.0526,3072,no-pdb,,,ripe,
9002,retn,RETN (транзит),True,OK,False,18,27648,0.0,0,3.7037,1024,NSP,Global,RETN,ripe,
203380,freakhosting,FreakHosting DE,True,OK,False,56,14592,0.0,0,3.5088,512,,Not Disclosed,DA International Group Ltd.,ripe,
42473,anexia,"Anexia, AT",True,OK,False,296,94208,0.0,0,2.9891,2816,Content,Global,Anexia,ripe,
57858,firstbyte,FirstByte,True,OK,False,179,46336,0.0,0,2.2099,1024,no-pdb,,,ripe,
208593,manta,Manta Tech / Multi,True,OK,False,1,256,0.0,0,0.0,0,no-pdb,,,ripe,
209160,pq,PQ Hosting,True,OK,False,1,256,0.0,0,0.0,0,no-pdb,,,ripe,
34772,novogara,Novogara,True,OK,False,22,128768,0.0,0,0.0,0,NSP,Europe,Neotel,ripe,
8075,microsoft,Microsoft Azure,True,OK,False,1190,81784832,0.0001,65,0.0995,81408,Content,Global,Microsoft,ripe,
13238,yandex,Yandex,True,OK,False,30,196608,0.0005,1,89.0625,175104,Content,Global,Yandex,ripe,
21859,c3net,C3.net,True,OK,False,1683,949760,0.0015,14,0.1348,1280,Content,Global,Zenlayer Edge Cloud Network - AS21859,ripe,
47764,mailru,Mail.ru,True,OK,False,96,143360,0.0028,4,57.1429,81920,Content,Europe,Mail.Ru Group,ripe,
20473,vultr,Vultr / Choopa,True,OK,False,1727,1496320,0.0029,43,2.0188,30208,NSP,Global,The Constant Company,ripe,
200350,yc,Yandex.Cloud,True,OK,False,53,231936,0.0052,12,61.5894,142848,Enterprise,Not Disclosed,Yandex Cloud,ripe,
34549,combahton,"combahton, DE",True,OK,False,48,37120,0.0054,2,2.7586,1024,NSP,Europe,meerfarbig GmbH & Co. KG,ripe,
39134,beget,"Beget, RU",True,OK,False,102,33024,0.0061,2,35.6589,11776,Content,Europe,United Network,ripe,
63949,linode,Linode / Akamai,True,OK,False,350,1360640,0.0071,97,0.2822,3840,Content,Global,Linode AS63949,ripe,
8560,ionos,IONOS 1&1,True,OK,False,522,899072,0.009,81,2.5342,22784,NSP,Global,IONOS SE,ripe,
44066,firstcolo,FirstColo,True,OK,False,54,165120,0.0097,16,1.5504,2560,NSP,Europe,firstcolo,ripe,
213887,waicore,WAIcore Ltd,True,OK,False,63,16384,0.0122,2,0.0,0,Enterprise,Europe,WAICORE,ripe,
49505,selectel,"Selectel, RU (основной AS)",True,OK,False,661,554240,0.0124,69,12.6559,70144,Content,Global,Selectel Ltd.,ripe,
210644,aeza,Aeza (RU/multi),True,OK,False,317,96768,0.0124,12,2.1164,2048,NSP,Global,Aéza,cache,
24961,myloc,myLoc / WebtroPia,True,OK,False,48,132352,0.0128,17,7.9304,10496,Content,Europe,WIIT Group,ripe,
51167,contabo,"Contabo, DE",True,OK,False,568,543232,0.0136,74,6.5033,35328,Content,Global,Contabo,ripe,
39494,regru-3,Reg.ru / RU-CENTER (доп),True,OK,False,28,22016,0.0136,3,1.1628,256,no-pdb,,,ripe,
197540,netcup,"netcup, DE/AT",True,OK,False,246,245760,0.0138,34,5.1042,12544,Content,Europe,netcup GmbH,ripe,
50340,selectel-2,"Selectel, доп AS",True,OK,False,503,345088,0.0159,55,11.6469,40192,Content,Global,Selectel MSK,ripe,
210079,edis,EDIS Global,True,OK,False,87,28928,0.0277,8,24.7788,7168,Content,Europe,EUROBYTE,ripe,
207713,ngenix,Ngenix CDN,True,OK,False,37,9472,0.0317,3,8.1081,768,Content,Global,GLOBAL INTERNET SOLUTIONS,ripe,
29182,rusonyx,Rusonyx / RuVDS,True,OK,False,175,134656,0.0364,49,7.4144,9984,Content,Europe,JSC IOT,ripe,
16003,fornex-nl,Fornex NL,True,OK,False,35,9728,0.0514,5,5.2632,512,Content,Europe,Fornex Hosting - Netherlands,ripe,
197695,timeweb,"Timeweb, RU",True,OK,False,456,124416,0.0804,100,8.642,10752,no-pdb,,,ripe,
48282,vdsina,VDSina (Hosting technology LTD),True,OK,False,165,42240,0.0852,36,6.0606,2560,no-pdb,,,ripe,
44112,firstvds,FirstVDS,True,OK,False,29,15104,0.1324,20,0.0,0,no-pdb,,,ripe,
198610,hostkey-ru,Hostkey RU,True,OK,False,516,220416,0.137,302,7.3171,16128,Enterprise,Europe,BeGet,ripe,
48018,fornex-ru,Fornex RU,True,OK,False,13,3328,0.1502,5,0.0,0,Content,Europe,Fornex Hositing - Russia,ripe,
44051,fornex,Fornex (основной),True,OK,False,79,20992,0.2382,50,2.439,512,Content,Europe,Fornex Hosting - Germany,ripe,
25532,masterhost,Masterhost,True,OK,False,34,19456,0.3701,72,0.0,0,,Europe,Masterhost,ripe,
199524,gcore,G-Core Labs,True,HOSTILE-ASN,True,458,124932,0.0016,2,22.7452,28416,Content,Global,Gcore,ripe,
60068,cdn77,CDN77,True,HOSTILE-ASN,True,415,128000,0.0437,56,4.6,5888,Content,Global,CDN77,ripe,
24940,hetzner,"Hetzner, DE",True,HOSTILE-ASN,True,91,3171840,0.0183,580,1.0573,33536,Content,Europe,Hetzner Online,ripe,
14061,digitalocean,DigitalOcean,True,HOSTILE-ASN,True,866,3128576,0.0109,342,0.9819,30720,Content,Global,DigitalOcean,ripe,
16276,ovh,"OVH, FR (multi)",True,HOSTILE-ASN,True,714,4634624,0.0162,750,0.7899,36608,Content,Global,OVHcloud,ripe,
20940,akamai,Akamai,True,HOSTILE-ASN,True,3950,15618752,0.0027,415,0.4196,65536,Content,Global,Akamai Technologies,ripe,
16509,amazon,Amazon AWS,True,HOSTILE-ASN,True,16555,218137344,0.0024,5177,0.1472,321024,Enterprise,Global,Amazon.com,ripe,
13335,cloudflare,Cloudflare,True,HOSTILE-ASN,True,2361,1449216,50.0473,725293,0.1237,1792,Content,Global,Cloudflare,ripe,
5537,regru-main,Reg.ru / RU-CENTER (основной),False,,,,,,,,,,,,,AS5537: no prefixes found in RIPE or ipverse
25537,regru-2,Reg.ru / RU-CENTER (доп),False,,,,,,,,,,,,,AS25537: no prefixes found in RIPE or ipverse
219262,waicore-ru,WAIcore RU (Ushakov),False,,,,,,,,,,,,,AS219262: no prefixes found in RIPE or ipverse
15169,google,Google Cloud,True,TOXIC,False,1233,4198656,100.0,4198656,0.0122,512,Content,Global,Google LLC,ripe,
